ccl_grana_filename,ccl_grana_processing_time(ms),ccl_wu_processing_time(ms),findContours_processing_time(ms),ccl_grana < findContours,ccl_wu < findContours
..\ccl_data\jpg_files\Sparse\KK\n=2000d=12_1337.jpg,492759,809535,529740,1,
..\ccl_data\jpg_files\Sparse\KK\n=2000d=15_983.jpg,495407,779766,617349,1,
..\ccl_data\jpg_files\Sparse\KK\n=2000d=6_1278.jpg,559816,762618,638292,1,
..\ccl_data\jpg_files\Sparse\KK\n=2000d=8_1052.jpg,548658,715919,576432,1,
..\ccl_data\jpg_files\Sparse\KK\n=3000d=10_624.jpg,943652,1654815,1085098,1,
..\ccl_data\jpg_files\Sparse\KK\n=3000d=12_491.jpg,940756,1634916,1060384,1,
..\ccl_data\jpg_files\Sparse\KK\n=3000d=15_600.jpg,969720,1592407,998945,1,
..\ccl_data\jpg_files\Sparse\KK\n=3000d=6_538.jpg,1074586,1800525,1219946,1,
..\ccl_data\jpg_files\Sparse\KK\n=3000d=8_485.jpg,962107,1694443,1130736,1,
..\ccl_data\jpg_files\Sparse\KK\n=500d=10_21083.jpg,72828,81887,95965,1,1
..\ccl_data\jpg_files\Sparse\KK\n=500d=12_21451.jpg,56134,62611,54231,,
..\ccl_data\jpg_files\Sparse\KK\n=500d=15_19102.jpg,48488,62359,45010,,
..\ccl_data\jpg_files\Sparse\KK\n=500d=6_29163.jpg,53410,63684,74853,1,1
..\ccl_data\jpg_files\Sparse\KK\n=500d=8_28738.jpg,62062,55850,88391,1,1
..\ccl_data\jpg_files\Sparse\KK_W\n=1000d=10_1088.jpg,189908,239600,181840,,
..\ccl_data\jpg_files\Sparse\KK_W\n=1000d=12_1019.jpg,172639,226870,181513,1,
..\ccl_data\jpg_files\Sparse\KK_W\n=1000d=15_1063.jpg,168792,208447,151640,,
..\ccl_data\jpg_files\Sparse\KK_W\n=1000d=6_967.jpg,235755,215423,189565,,
..\ccl_data\jpg_files\Sparse\KK_W\n=1000d=8_1139.jpg,165579,206487,221407,1,1
..\ccl_data\jpg_files\Sparse\KK_W\n=2000d=10_425.jpg,571583,778934,622336,1,
..\ccl_data\jpg_files\Sparse\KK_W\n=2000d=12_389.jpg,567961,706325,508824,,
..\ccl_data\jpg_files\Sparse\KK_W\n=2000d=15_377.jpg,665881,782901,558582,,
..\ccl_data\jpg_files\Sparse\KK_W\n=2000d=6_340.jpg,522779,734633,464411,,
